iter	Logloss
0	0.6887437047
1	0.6840409897
2	0.6797083351
3	0.6749808653
4	0.6711309611
5	0.667662623
6	0.6643314883
7	0.6604165181
8	0.6566091672
9	0.6534307799
10	0.6492929609
11	0.6452909825
12	0.6413112332
13	0.637768996
14	0.6337106835
15	0.6298077181
16	0.6266134804
17	0.6226009047
18	0.6190825777
19	0.6160143369
20	0.6125749134
21	0.6091607926
22	0.6062183031
23	0.6029055807
24	0.5995408537
25	0.5961839066
26	0.5926975943
27	0.5892768122
28	0.5867486169
29	0.5836849213
30	0.580992319
31	0.5784133239
32	0.5761028875
33	0.5732521961
34	0.5695271015
35	0.5669843325
36	0.5633477038
37	0.5600513881
38	0.5571176293
39	0.5542890589
40	0.551427006
41	0.549616147
42	0.5459901301
43	0.5437482125
44	0.5411981849
45	0.5384491684
46	0.5367269017
47	0.5333785338
48	0.5308082241
49	0.5277090779
50	0.5255244048
51	0.5230858794
52	0.5207775439
53	0.518624785
54	0.51659536
55	0.5134903488
56	0.5107618128
57	0.5088838725
58	0.5068455413
59	0.5050734661
60	0.5031513604
61	0.5013352753
62	0.4996613307
63	0.4976564852
64	0.4952037399
65	0.4931918043
66	0.4914031086
67	0.4888860721
68	0.4867811509
69	0.4844979805
70	0.4822323571
71	0.4798737445
72	0.477844875
73	0.4760235999
74	0.4736312189
75	0.4720674177
76	0.469518777
77	0.4677695694
78	0.4662356534
79	0.4645084644
80	0.4626832671
81	0.4607443577
82	0.4588410497
83	0.4568882463
84	0.4550773061
85	0.4531596126
86	0.4513234281
87	0.4496932057
88	0.4478984239
89	0.4463210663
90	0.4447831591
91	0.4434736838
92	0.442160633
93	0.4401558659
94	0.4386771129
95	0.4368150319
96	0.4352208468
97	0.4338783632
98	0.431345275
99	0.4300811358
100	0.4285554488
101	0.4267397849
102	0.4250798481
103	0.4234326311
104	0.4213919926
105	0.4199430206
106	0.4178765108
107	0.4167761538
108	0.415105506
109	0.4133764309
110	0.4113950751
111	0.410053459
112	0.408243057
113	0.4068016873
114	0.4054900588
115	0.4042756289
116	0.4025080819
117	0.4012602136
118	0.3998582847
119	0.3989972659
120	0.3975884991
121	0.396162343
122	0.3947918582
123	0.3928612583
124	0.3918209119
125	0.3903343928
126	0.3887293279
127	0.386712732
128	0.3853832384
129	0.3838415631
130	0.3824366218
131	0.3809673105
132	0.3800577363
133	0.3789013633
134	0.3777497397
135	0.3762078499
136	0.3749972691
137	0.3737846457
138	0.3723579659
139	0.3709368248
140	0.3696286549
141	0.3685119022
142	0.367389137
143	0.3666268621
144	0.3654724698
145	0.3646160251
146	0.363564222
147	0.3623802163
148	0.3612054392
149	0.3600678951
150	0.3589412589
151	0.3580439422
152	0.3571124963
153	0.3563589251
154	0.3549474424
155	0.353912776
156	0.3527666111
157	0.3521103306
158	0.3510787387
159	0.349881278
160	0.3482437992
161	0.3471527546
162	0.3462292357
163	0.3454007435
164	0.3441065706
165	0.343335551
166	0.3424449824
167	0.3418736038
168	0.3411809933
169	0.3404160944
170	0.3395465836
171	0.3383377145
172	0.3375894227
173	0.3364452449
174	0.3357377875
175	0.334443233
176	0.3334942745
177	0.3325453764
178	0.3316739806
179	0.3305660923
180	0.3293264171
181	0.3280067441
182	0.3267510113
183	0.3255962519
184	0.3248744216
185	0.3240728528
186	0.3235004825
187	0.3220935175
188	0.320942501
189	0.3202123003
190	0.3189150103
191	0.3177079338
192	0.3168695783
193	0.3161902978
194	0.3153497499
195	0.3146677243
196	0.3138915311
197	0.313174407
198	0.3121813295
199	0.3111975863
200	0.3102896593
201	0.3094159712
202	0.3086337214
203	0.3078056152
204	0.3071814231
205	0.3063439933
206	0.3057208498
207	0.3048619974
208	0.3043475027
209	0.3036760561
210	0.302995629
211	0.3018787823
212	0.3008762531
213	0.2997722453
214	0.2992242792
215	0.2981946207
216	0.2976223026
217	0.2970218998
218	0.296150046
